               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12442,            0.044366,                   0,           0.0016667,             0.19231,           0.0030179,          0.00052187,             0.12215,            0.033193,                   0,              0.0757,              0.0027,              0.0027
                   1,             0.11974,            0.050821,                   0,           0.0016667,             0.19231,           0.0030179,          0.00052187,             0.12215,            0.033193,                   0,            0.050499,           0.0054995,           0.0054995
                   2,             0.11822,            0.046737,                   0,               0.003,             0.34615,           0.0056831,           0.0012895,             0.11544,            0.034078,                   0,            0.025298,           0.0082984,           0.0082984
                   3,             0.11225,            0.049958,                   0,               0.003,             0.34615,           0.0056831,           0.0012895,             0.11544,            0.034078,                   0,            0.009997,            0.009997,            0.009997
                   4,             0.10949,            0.049921,                   0,           0.0066019,             0.42308,            0.019445,           0.0028366,             0.11284,            0.032289,                   0,            0.009997,            0.009997,            0.009997
                   5,             0.10483,            0.044934,                   0,           0.0066019,             0.42308,            0.019445,           0.0028366,             0.11284,            0.032289,                   0,            0.009996,            0.009996,            0.009996
                   6,             0.10257,            0.043051,                   0,           0.0036667,             0.42308,            0.015854,           0.0025578,             0.11877,            0.027709,                   0,           0.0099951,           0.0099951,           0.0099951
                   7,             0.11454,            0.046691,                   0,           0.0036667,             0.42308,            0.015854,           0.0025578,             0.11877,            0.027709,                   0,           0.0099941,           0.0099941,           0.0099941
                   8,             0.11648,            0.047845,                   0,           0.0023287,            0.038462,            0.003639,           0.0014492,             0.11629,             0.02544,                   0,           0.0099931,           0.0099931,           0.0099931
                   9,             0.10886,            0.041753,                   0,           0.0023287,            0.038462,            0.003639,           0.0014492,             0.11629,             0.02544,                   0,           0.0099921,           0.0099921,           0.0099921
                  10,             0.11469,            0.043254,                   0,           0.0023287,            0.038462,            0.003639,           0.0014492,             0.11629,             0.02544,                   0,           0.0099911,           0.0099911,           0.0099911
                  11,             0.11099,            0.040351,                   0,            0.029469,             0.19231,            0.015558,           0.0033883,             0.11047,            0.024645,                   0,           0.0099901,           0.0099901,           0.0099901
                  12,             0.10936,            0.042853,                   0,            0.029469,             0.19231,            0.015558,           0.0033883,             0.11047,            0.024645,                   0,           0.0099891,           0.0099891,           0.0099891
                  13,             0.10055,            0.038829,                   0,             0.14488,             0.42308,             0.22363,            0.048683,             0.10176,            0.024721,                   0,           0.0099881,           0.0099881,           0.0099881
                  14,            0.098735,            0.037829,                   0,             0.14488,             0.42308,             0.22363,            0.048683,             0.10176,            0.024721,                   0,           0.0099871,           0.0099871,           0.0099871
                  15,            0.096247,            0.036339,                   0,             0.35537,             0.30769,             0.19786,            0.036828,             0.10415,            0.022542,                   0,           0.0099861,           0.0099861,           0.0099861
                  16,            0.096843,            0.036901,                   0,             0.35537,             0.30769,             0.19786,            0.036828,             0.10415,            0.022542,                   0,           0.0099851,           0.0099851,           0.0099851
                  17,            0.098769,            0.039234,                   0,             0.35537,             0.30769,             0.19786,            0.036828,             0.10415,            0.022542,                   0,           0.0099842,           0.0099842,           0.0099842
                  18,            0.094099,            0.031052,                   0,             0.22061,             0.19231,             0.13494,            0.026287,             0.10234,            0.021768,                   0,           0.0099832,           0.0099832,           0.0099832
                  19,            0.096238,            0.038353,                   0,             0.22061,             0.19231,             0.13494,            0.026287,             0.10234,            0.021768,                   0,           0.0099822,           0.0099822,           0.0099822
                  20,            0.091712,            0.034914,                   0,             0.16175,             0.23077,             0.11906,            0.028112,            0.099559,            0.021616,                   0,           0.0099812,           0.0099812,           0.0099812
                  21,            0.086703,            0.040291,                   0,             0.16175,             0.23077,             0.11906,            0.028112,            0.099559,            0.021616,                   0,           0.0099802,           0.0099802,           0.0099802
                  22,              0.0919,            0.032077,                   0,              0.3264,              0.2427,             0.16512,            0.042604,             0.09968,            0.021003,                   0,           0.0099792,           0.0099792,           0.0099792
                  23,            0.094612,            0.036544,                   0,              0.3264,              0.2427,             0.16512,            0.042604,             0.09968,            0.021003,                   0,           0.0099782,           0.0099782,           0.0099782
                  24,            0.098772,            0.036578,                   0,             0.26434,             0.19231,             0.11302,             0.02025,            0.098698,             0.02111,                   0,           0.0099772,           0.0099772,           0.0099772
                  25,            0.093595,            0.033271,                   0,             0.26434,             0.19231,             0.11302,             0.02025,            0.098698,             0.02111,                   0,           0.0099762,           0.0099762,           0.0099762
                  26,            0.099484,            0.035991,                   0,             0.26434,             0.19231,             0.11302,             0.02025,            0.098698,             0.02111,                   0,           0.0099753,           0.0099753,           0.0099753
                  27,            0.089378,            0.031206,                   0,             0.26663,             0.23077,             0.14353,            0.026758,            0.088904,            0.023195,                   0,           0.0099743,           0.0099743,           0.0099743
                  28,            0.085052,            0.025935,                   0,             0.26663,             0.23077,             0.14353,            0.026758,            0.088904,            0.023195,                   0,           0.0099733,           0.0099733,           0.0099733
                  29,            0.089664,            0.037923,                   0,             0.20288,             0.19231,             0.14505,              0.0336,            0.086844,            0.023782,                   0,           0.0099723,           0.0099723,           0.0099723
