               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094166,            0.041611,                   0,             0.26402,             0.29713,             0.14925,            0.039115,            0.078908,            0.028741,                   0,            0.070361,           0.0032932,           0.0032932
                   1,             0.07109,            0.030658,                   0,             0.33822,             0.39183,             0.27446,            0.097789,             0.06605,            0.019889,                   0,            0.040296,           0.0065609,           0.0065609
                   2,            0.065172,            0.026707,                   0,             0.30431,             0.52104,             0.34156,             0.14641,            0.060796,            0.019208,                   0,            0.010164,           0.0097626,           0.0097626
                   3,            0.057796,            0.024683,                   0,             0.70042,             0.60817,             0.66174,             0.26991,            0.057303,            0.019774,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.050099,            0.022505,                   0,             0.77918,             0.64379,             0.70953,             0.35791,            0.046493,            0.019175,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.045515,            0.021585,                   0,             0.81933,             0.63771,             0.72449,             0.35902,            0.045754,            0.018528,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042432,            0.021189,                   0,             0.79528,             0.61685,             0.70565,             0.34229,            0.044116,             0.01826,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.040515,             0.02069,                   0,             0.86733,             0.61859,             0.73174,             0.38405,             0.04216,            0.018333,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038892,            0.019613,                   0,             0.86458,             0.65508,             0.74743,             0.42867,             0.03997,            0.018012,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.037643,            0.019822,                   0,             0.84833,             0.66576,             0.75451,             0.42101,            0.038849,            0.017374,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.036883,            0.019785,                   0,             0.86786,             0.64379,             0.75824,             0.43451,            0.039138,            0.018044,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.035721,            0.018773,                   0,             0.88489,             0.64553,             0.75512,             0.45649,            0.036967,            0.018909,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034587,             0.01784,                   0,             0.85785,             0.68028,             0.77792,             0.45828,            0.036182,            0.017521,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033812,            0.018557,                   0,             0.88087,             0.68375,             0.76361,             0.45797,             0.03722,            0.017868,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032912,            0.018099,                   0,             0.91985,              0.6282,             0.76143,             0.47057,            0.035222,            0.018553,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031726,            0.017185,                   0,             0.88591,             0.68137,             0.76945,             0.46697,            0.034103,             0.01829,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031664,            0.017835,                   0,             0.89114,             0.66377,             0.76746,             0.47072,            0.035383,            0.018208,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.031639,             0.01693,                   0,             0.87804,             0.69505,             0.78212,             0.48206,            0.033968,            0.017202,                   0,            0.008416,            0.008416,            0.008416
