               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087469,              0.0368,                   0,             0.31107,             0.27618,             0.22666,            0.085406,            0.075884,            0.029144,                   0,            0.070023,           0.0033307,           0.0033307
                   1,             0.06311,            0.027659,                   0,             0.43516,             0.38755,             0.34356,             0.14592,             0.06647,            0.024383,                   0,            0.040017,           0.0066575,           0.0066575
                   2,            0.059116,            0.024661,                   0,             0.47993,             0.40592,             0.42554,             0.18064,            0.059304,            0.024511,                   0,            0.010004,           0.0099776,           0.0099776
                   3,            0.051441,            0.022831,                   0,             0.74956,             0.51366,             0.59393,             0.31054,            0.048217,            0.024033,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.046099,            0.021342,                   0,             0.81976,             0.53833,               0.641,             0.33548,            0.045101,            0.023175,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.041255,            0.020193,                   0,             0.83228,             0.56222,             0.66113,              0.3916,             0.04068,             0.02395,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.039419,            0.020652,                   0,             0.82428,             0.55842,             0.66657,             0.39702,            0.040185,            0.023219,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,             0.03882,            0.020409,                   0,             0.81786,             0.56894,             0.66673,             0.39226,            0.038324,            0.023578,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.035304,            0.018801,                   0,             0.81499,             0.59256,               0.688,             0.39009,            0.038974,            0.022789,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.034987,            0.018382,                   0,             0.84398,             0.58422,             0.68238,             0.41648,            0.036844,            0.023369,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.033822,            0.018877,                   0,             0.83114,             0.59751,             0.67835,             0.41375,            0.038022,             0.02392,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.033167,            0.018318,                   0,             0.81898,             0.61444,              0.6934,             0.43357,            0.038293,            0.024126,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.032311,             0.01767,                   0,             0.83727,             0.59408,             0.68767,             0.42278,            0.037946,            0.023216,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.030334,            0.016932,                   0,              0.8165,             0.61443,             0.69611,             0.44794,            0.036739,            0.023048,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,             0.03095,            0.017236,                   0,             0.85975,             0.60774,             0.70257,              0.4515,            0.036619,            0.022314,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.031165,            0.017206,                   0,             0.83613,             0.63103,             0.70021,             0.46211,            0.034985,            0.023417,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.029161,            0.016976,                   0,             0.85855,              0.6217,             0.72403,             0.46911,            0.035595,             0.02211,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.030225,            0.016568,                   0,             0.87652,             0.60698,             0.71528,             0.47239,            0.035031,            0.021868,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,            0.028608,            0.016666,                   0,             0.86829,              0.5956,             0.72143,             0.48198,            0.035647,            0.021865,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,             0.02801,            0.016345,                   0,             0.86796,             0.62841,             0.72554,             0.45344,            0.035676,            0.022687,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.028626,            0.016233,                   0,             0.86735,              0.6214,              0.7186,             0.44676,            0.034741,             0.02237,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,            0.028559,            0.016467,                   0,             0.87049,             0.61704,             0.73144,             0.47969,            0.033652,            0.021704,                   0,            0.009802,            0.009802,            0.009802
                  22,            0.028615,             0.01647,                   0,             0.88429,             0.62215,             0.74106,             0.48604,            0.033624,            0.021191,                   0,           0.0097921,           0.0097921,           0.0097921
                  23,             0.02645,            0.015903,                   0,             0.87138,             0.61681,             0.73996,             0.47841,            0.034363,            0.021454,                   0,           0.0097822,           0.0097822,           0.0097822
                  24,            0.027551,            0.016431,                   0,             0.83332,             0.64492,             0.72907,             0.48389,             0.03364,            0.022224,                   0,           0.0097723,           0.0097723,           0.0097723
                  25,            0.027543,            0.016215,                   0,             0.85458,             0.62421,             0.70702,              0.4808,            0.033909,            0.022355,                   0,           0.0097624,           0.0097624,           0.0097624
                  26,            0.026628,            0.015514,                   0,             0.88308,             0.62671,             0.72351,             0.48614,            0.032717,            0.023123,                   0,           0.0097525,           0.0097525,           0.0097525
                  27,             0.02633,            0.015198,                   0,              0.8892,              0.6047,             0.71601,             0.47855,            0.032704,             0.02241,                   0,           0.0097426,           0.0097426,           0.0097426
                  28,            0.025711,            0.014897,                   0,             0.88238,             0.63126,             0.70618,             0.48292,            0.033282,            0.022774,                   0,           0.0097327,           0.0097327,           0.0097327
                  29,            0.025514,            0.015147,                   0,             0.86333,             0.64036,             0.72081,             0.47821,            0.034318,            0.022952,                   0,           0.0097228,           0.0097228,           0.0097228
                  30,            0.025854,            0.015047,                   0,             0.86451,             0.63354,             0.73223,             0.49744,            0.033311,            0.020963,                   0,           0.0097129,           0.0097129,           0.0097129
                  31,            0.024584,            0.015036,                   0,             0.86577,             0.64108,             0.73788,             0.49904,            0.032709,            0.020939,                   0,            0.009703,            0.009703,            0.009703
